 	Area	XM	YM	Slice
946	418	130.378	90.122	107
947	536	27.953	237.226	107
948	572	723.465	266.266	107
949	533	527.744	270.761	107
950	585	763.628	271.626	107
951	267	868.923	291.612	107
952	285	450.742	23.279	108
953	231	597.093	26.019	108
954	585	231.150	84.509	108
955	419	130.443	89.894	108
956	431	21.679	234.154	108
957	561	723.857	266.329	108
958	520	527.863	270.627	108
959	594	763.554	271.438	108
960	293	869.520	292.186	108
961	300	450.963	22.873	109
962	240	596.992	26.529	109
963	592	231.184	84.760	109
964	399	130.107	90.350	109
965	475	21.479	234.818	109
966	567	723.759	266.599	109
967	530	527.917	270.834	109
968	593	763.144	271.583	109
969	288	869.337	291.337	109
970	299	451.286	22.741	110
971	227	596.830	26.654	110
972	616	231.227	84.571	110
973	399	130.059	90.264	110
974	494	21.415	233.731	110
975	556	723.174	266.250	110
976	524	527.781	270.534	110
977	581	763.319	271.546	110
978	286	868.916	291.850	110
979	295	450.961	23.344	111
980	199	597.570	25.183	111
981	592	231.166	84.622	111
982	413	130.091	90.485	111
983	468	21.453	234.536	111
984	580	723.588	266.498	111
985	520	528.096	270.800	111
